k_invA,S_k
12.61963928,0.95748684
12.65931864,0.96633890
12.69899800,0.97538056
12.73867735,0.98456867
12.77835671,0.99385423
12.81803607,1.00318332
12.85771543,1.01249821
12.89739479,1.02173859
12.93707415,1.03084286
12.97675351,1.03974940
13.01643287,1.04839776
13.05611222,1.05672984
13.09579158,1.06469083
13.13547094,1.07223000
13.17515030,1.07930131
13.21482966,1.08586386
13.25450902,1.09188205
13.29418838,1.09732566
13.33386774,1.10216975
13.37354709,1.10639444
13.41322645,1.10998460
13.45290581,1.11292954
13.49258517,1.11522266
13.53226453,1.11686110
13.57194389,1.11784556
13.61162325,1.11818006
13.65130261,1.11787188
13.69098196,1.11693157
13.73066132,1.11537307
13.77034068,1.11321383
13.81002004,1.11047510
13.84969940,1.10718211
13.88937876,1.10336434
13.92905812,1.09905572
13.96873747,1.09429469
14.00841683,1.08912423
14.04809619,1.08359172
14.08777555,1.07774859
14.12745491,1.07164991
14.16713427,1.06535369
14.20681363,1.05892010
14.24649299,1.05241050
14.28617234,1.04588638
14.32585170,1.03940818
14.36553106,1.03303410
14.40521042,1.02681892
14.44488978,1.02081281
14.48456914,1.01506035
14.52424850,1.00959956
14.56392786,1.00446125
14.60360721,0.99966848
14.64328657,0.99523630
14.68296593,0.99117173
14.72264529,0.98747402
14.76232465,0.98413513
14.80200401,0.98114041
14.84168337,0.97846948
14.88136273,0.97609734
14.92104208,0.97399545
14.96072144,0.97213295
15.00040080,0.97047794
15.04008016,0.96899858
15.07975952,0.96766422
15.11943888,0.96644633
15.15911824,0.96531935
15.19879760,0.96426123
15.23847695,0.96325390
15.27815631,0.96228340
15.31783567,0.96133996
15.35751503,0.96041773
15.39719439,0.95951450
15.43687375,0.95863118
15.47655311,0.95777120
15.51623246,0.95693996
15.55591182,0.95614407
15.59559118,0.95539081
15.63527054,0.95468752
15.67494990,0.95404112
15.71462926,0.95345773
15.75430862,0.95294244
15.79398798,0.95249914
15.83366733,0.95213062
15.87334669,0.95183860
15.91302605,0.95162405
15.95270541,0.95148743
15.99238477,0.95142912
16.03206413,0.95144975
16.07174349,0.95155061
16.11142285,0.95173397
16.15110220,0.95200334
16.19078156,0.95236366
